Acc no,Acc name,Br no,Credit limit,Credit time,Trade Dsc,Cash Dsc,Address,Ph. No.,FAX No.,Contact,SalesPerson
S\9999,SAMPLES ACCOUNT,1,100,10,0,0,SAMPLES ONLY,908-1056,908-4828,John Medcalf,HOUSE
T\0007,TINT-A-TIN CC,1,220000,70,37.5,0,30 DAY ACCOUNT,011 908 2295 #,011 864 7073,WARREN GRANT / ALLEN SWART,HOUSE / DW
T\0024,TREK SCALE CO. PTY LTD,1,45000,40,30,0,30 DAY ACCOUNT,011 626 3490 X,011 626 2029,DENISE HOPOEY,HOUSE / DW
T\0032,TALFURNCO (PTY) LTD,1,2000,10,22.5,0,CASH ACCOUNT,011-422 1918/9,011-845-1958,MARTIN,RUWEIDA MODRAMOOTHOO / NS
T\0053,TEXLAND MEAT (PTY) LIMITED,1,20000,10,30,0,CASH ACCOUNT,011-316 8006,011-316 7767,E ALVES/S TEIXEIRA/T FERREIRA,RUWEIDA MODRAMOOTHOO / NS
T\0057,TRIDARC CC,1,5000,10,15,0,CASH ACCOUNT,011-433 2210,011-433 4249,TRENT WIGGILL / CHANTEL LEPAN,HOUSE / NS
T\0059,TUBECON AFRICA (PTY) LTD,1,10000,40,25,0,30 DAY ACCOUNT,012-541 3211/2,012-541 33313,JOBERT ZIETSMAN,RUWEIDA MODRAMOOTHOO / NS
U\0002,USSHER INVENTIONS,1,1500000,40,25,0,30 DAY ACCOUNT,011 827 5835,011 824 2526,Rene Aucamp / Les Dale,MH
U\0006,UNIRESINS (PTY) LTD,1,700000,40,35,0,P O BOX 634,011 908-7701,011 908-3881,Sanjeev,ASSOCIATE COMPANIES
V\0016,VITAL STEEL PROJECTS CC,1,65000,40,25,0,30 DAY ACCOUNT,011 316 6063,011 316 6065,ENNY PICMI,RUWEIDA MODRAMOOTHOO / NS
V\0020,VICTOR MINING SUPPLIES (PTY) LTD,1,15000,40,30,0,30 DAY ACCOUNT,018-786 2655,018-786 3963,BRIAN PRETORIOUS/ROSEMARY HALL,RUWEIDA MODRAMOOTHOO/RVDM/NS
W\0014,WYCOTT ENGG. SERVICE (PTY) LTD,1,10000,40,10,0,30 DAY ACCOUNT,O11-900 3533,011-900 3534,OLIVER MICHELAK,HOUSE / DW
W\0017,WEST RAND ENGG (PTY) LTD,1,180000,40,25,0,30 DAY ACCOUNT,011-952 9800,011-660 1809,MARK PHIRI / JAN NIEMAND,OELOFSE RUDI / DW
Y\0002,YELLOW ROCK TRADING 29CC,1,3000,10,20,0,CASH ACCOUNT,083-236 7831,086-693 8301,TREVOR DE BRUYN,OELOFSE RUDI / DW
