Acc no,Acc name,Br no,Credit limit,Credit time,Trade Dsc,Cash Dsc,Address,Ph. No.,FAX No.,Contact,SalesPerson
S\0094,SANDBLASTING & COATINGS GHANA LTD,1,"30,000.00",40,0,0,30 DAY EXPORT A/C - NO VAT,-+233-312322287,,,HOUSE
S\0088,SANDBLASTINGS & COATINGS-MOCAMBIQUE,1,"30,000.00",40,0,0,30 DAY EXPORT A/C - NO VAT,+258 21-724771,+258 21-724772,JAY-RAND SAND KGDP,GG / DW
S\0048D,SASOL CHEMICALS-DIV OF,1,"50,000.00",70,32.5,0,SASOL SOUTH AFRICA (PTY) LTD,011-441 3111,011-344 2288,,MH
S\0048,SASOL MINING (PTY) LIMITED,1,"1,100,000.00",70,32.5,0,C/O SASOL SHARED SERVICES,017 610 0100,011 522 5597,Anita Labuschagne / Mariaan,MH
S\0079,SAYEDS INDUSTRIAL SUPPLIES LTD,1,"75,000.00",40,35,0,30 DAY ACCOUNT,018-297-0816/7,018-294 4149,NIZAMUDDIN SAYED,RUWEIDA MODRAMOOTHOO / NS
S\0029,SCOT-RACK CC,1,"10,000.00",40,15,0,30 DAY ACCOUNT,016 423 3604 X,016 423 3604,IAN McCULLOCH,HOUSE / DW
S\0099,SENSATIONAL SIGNS (TPY) LTD,1,"5,000.00",10,30,0,CASH ACCOUNT,011 776 9056,086-665 7953,MOBEEN JEENA,RUWEIDA MODRAMOOTHOO / NS
S\0032,SHADE & HAIL NET SYSTEMS CC,1,"5,000.00",40,30,0,30 DAY ACCOUNT,016-590-9900X,086-545 8681,BERND WOLTERS,OELOFSE RUDI / DW
S\0011,SHIRAAZ HARDWARE,1,"5,000.00",10,32.5,0,CASH ACCOUNT,015-297 3756,015-297 3756,MOHAMMAD SHIRAZ KALLA,OELOFSE RUDI / DW
S\0077,SILZE STEEL WORKS CC,1,"160,000.00",40,27.5,0,30 DAY ACCOUNT,011-872 2000,086-621 4141,VUYO MPAHLENI,RUWEIDA MODRAMOOTHOO / NS
S\0045,SKY PAINTS & HARDWARE CC,1,"50,000.00",40,40,0,30 DAY ACCOUNT,011 474-0806/7,086 630 3736,VASSIE NAIK,OELOFSE RUDI / DW
S\0002,STAR RECYCLING  CO (PTY) LTD,1,"25,000.00",40,15,0,30 DAY ACCOUNT,011 864 -5130 #,011 864-5149,ROBIN STARKEY,HOUSE / DW
S\0021,STEEL & ALLOY CORP CC,1,"70,000.00",40,30,0,30 DAY ACCOUNT,018 462 8408 X,018 464 1274,FREDDIE/NADINE/MARISKA SMIT,HOUSE / DW
S\0050,STEEL & HARDWARE WORLD CC,1,"10,000.00",40,27.5,0,30 DAY ACCOUNT,011-868 5627 X,011-868 5596,Chris Schoeman,HOUSE
S\0035,STEEL JUNCTION,1,"90,000.00",40,40,0,30 DAY EXPORT A/C - NO VAT,+267 319 1429,+267 319 1428,BARUDEEN MUINUDEEN,HOUSE / NS
S\0071,STEEL SERVICES & ALLIED IND CC,1,"40,000.00",70,27.5,0,30 DAY ACCOUNT,018-787 2059,018-787 3416,SANNIE DU PLESSIS,OELOFSE RUDI / DW
S\0105,STEELMART & HARDWARE (PTY) LTD,1,"50,000.00",40,0,0,30 DAY ACCOUNT,011-434 5355,011-434 5327,REGO / KEEGAN,NEEL
S\0025,SUNKEYS DRUM & DELIVERIES CC,1,"100,000.00",40,27.5,0,30 DAY ACCOUNT,011 762 4852 S,086 575 5859,Jacob Ramahlo,HOUSE / NS
S\0083,SUPER LIFT SERVICES CC,1,"10,000.00",40,25,0,30 DAY ACCOUNT,011-908 4111,011-908 4113,FRANSIEN / LENORA,RUWEIDA MODRAMOOTHOO / NS
S\9015,SUSPENSE A/C,1,1,100,0,0,PLEASE DO NOT POST,011-908-1056,,,HOUSE
S\0006,SYDAN CC - SYD'S PAINT,1,"380,000.00",40,37.5,0,30 DAY ACCOUNT,011 902 3621 X,011 902 2699,Sidney / Les / Valentine,HOUSE / GG / NS
S\0048A,SYNFUELS OPERATIONS-DIV OF,1,"300,000.00",70,32.5,0,SASOL SOUTH AFRICA (PTY) LTD,017-610 3066,011-522 8807,Mr. Gawie Roselt / Hannah,MH
T\0032,TALFURNCO (PTY) LTD,1,"2,000.00",10,22.5,0,CASH ACCOUNT,011-422 1918/9,011-845-1958,MARTIN,RUWEIDA MODRAMOOTHOO / NS
T\0053,TEXLAND MEAT (PTY) LIMITED,1,"20,000.00",10,30,0,CASH ACCOUNT,011-316 8006,011-316 7767,E ALVES/S TEIXEIRA/T FERREIRA,RUWEIDA MODRAMOOTHOO / NS
T\0007,TINT-A-TIN CC,1,"220,000.00",70,37.5,0,30 DAY ACCOUNT,011 908 2295 #,011 864 7073,WARREN GRANT / ALLEN SWART,HOUSE / DW
T\0008,TRADE AVAIL 378 CC,1,"20,000.00",40,35,0,30 DAY ACCOUNT,056-811-2774,056-811-2772,OCKERT / HEIDI KLEYN,OELOFSE RUDI / DW
T\0024,TREK SCALE CO. PTY LTD,1,"45,000.00",40,30,0,30 DAY ACCOUNT,011 626 3490 X,011 626 2029,DENISE HOPOEY,HOUSE / DW
T\0020,TRI-COR SIGNS,1,"140,000.00",100,30,0,60 DAY ACCOUNT,011 474 9044 X,011 473 2400,CHARMAINE CHUNDER,HOUSE / NS
T\0057,TRIDARC CC,1,"5,000.00",10,15,0,CASH ACCOUNT,011-433 2210,011-433 4249,TRENT WIGGILL / CHANTEL LEPAN,HOUSE / NS
T\0055,TSHWANE FIRE SPRINKLERS CC,1,"80,000.00",40,35,0,30 DAY ACCOUNT,012-372 5910,012-372 3913,SHILENE COLEMAN,RUWEIDA MODRAMOOTHOO / NS
T\0059,TUBECON AFRICA (PTY) LTD,1,"10,000.00",10,30,0,30 DAY ACCOUNT,012-541 3211/2,012-541 33313,JOBERT ZIETSMAN,RUWEIDA MODRAMOOTHOO / NS
U\0006,UNIRESINS (PTY) LTD,1,"700,000.00",40,35,0,P O BOX 634,011 908-7701,011 908-3881,Sanjeev,ASSOCIATE COMPANIES
U\0002,USSHER INVENTIONS,1,"1,500,000.00",40,25,0,30 DAY ACCOUNT,011 827 5835,011 824 2526,Rene Aucamp / Les Dale,MH
V\0020,VICTOR MINING SUPPLIES (PTY) LTD,1,"15,000.00",40,30,0,30 DAY ACCOUNT,018-786 2655,018-786 3963,BRIAN PRETORIOUS/ROSEMARY HALL,RUWEIDA MODRAMOOTHOO/RVDM/NS
V\0016,VITAL STEEL PROJECTS CC,1,"65,000.00",40,25,0,30 DAY ACCOUNT,011 316 6063,011 316 6065,ENNY PICMI,RUWEIDA MODRAMOOTHOO / NS
W\0017,WEST RAND ENGG (PTY) LTD,1,"180,000.00",40,25,0,30 DAY ACCOUNT,011-952 9800,011-660 1809,MARK PHIRI / JAN NIEMAND,OELOFSE RUDI / DW
W\0014,WYCOTT ENGG. SERVICE (PTY) LTD,1,"10,000.00",40,10,0,30 DAY ACCOUNT,O11-900 3533,011-900 3534,OLIVER MICHELAK,HOUSE / DW
Y\0002,YELLOW ROCK TRADING 29CC,1,"3,000.00",10,20,0,CASH ACCOUNT,083-236 7831,086-693 8301,TREVOR DE BRUYN,OELOFSE RUDI / DW
M\0057,ZZ-MADIBA FENCING & SIGNS,1,"35,000.00",40,27.5,0,CASH ACCOUNT,011 815 6333 X,011815 6333 ASK,JACKY/ELBIE HIEPNER/ CLINTON,RUWEIDA MODRAMOOTHOO / NS
